codigo,descricao,preco,imagem,cores
VE4004-EVL,"Evolution Anel",106.26,volantes/1Evolution_Anel/VE4004CZ-EVL.png,"Cinza:VE4004CZ-EVL:#808080, Preto:VE4004PT-EVL:#000000, Vermelho:VE4004VM-EVL:#d84040"
VE4000,"GTI MK7 C/ Bucha",106.26,volantes/2GTI_MK7_CBucha/VE4000CZ.png,"Cinza:VE4000CZ:#808080, Preto:VE4000PT:#000000, Azul:VE4000AZ:#0066cc"
VE4002CZ,"GTI MK7 95 a 13 (2/3/4)",106.26,volantes/3GTI_MK7_95_13_2_3/VE4002CZ.png,"Cinza:VE4002CZ:#808080, Preto:VE4002PT:#000000, Vermelho:VE4002VM:#d84040"
VE4003CZ,"GTI MK7 95 a 35 (5/6)",106.26,volantes/4GTI_MK7_95_35_5_6/VE4003CZ.png,"Cinza:VE4003CZ:#808080, Preto:VE4003PT:#000000, Vermelho:VE4003VM:#d84040"
VE4005CZ,"GTI Vision Universal",106.26,volantes/5GTI_Vision_Universal/VE4005CZ.png,"Cinza:VE4005CZ:#808080, Preto:VE4005PT:#000000, Vermelho:VE4005VM:#d84040"
VE3001CZ,"Ford Titanium",106.26,volantes/6Ford _Titanium/VE3001CZ.png,"Cinza:VE3001CZ:#808080, Preto:VE3001PT:#000000, Vermelho:VE3001VM:#d84040"
VE0485CZ,"GM Novo Celta",106.26,volantes/7GM_Novo_Celta/VE0485CZ.png,"Cinza:VE0485CZ:#808080, Preto:VE0485PT:#000000, Vermelho:VE0485VM:#d84040"
VE0493PR,"Cruze Agile",106.26,volantes/8Cruze_agile/Agile VE0493PR.webp,"Cinza:VE0493CZ:#808080, Preto:VE0493PT:#000000, Vermelho:VE0493VM:#d84040"
VE0491PR,"Cruze Astra",106.26,volantes/8Cruze_astra/Astra VE0491PR.webp,"Cinza:VE0491CZ:#808080, Preto:VE0491PT:#000000, Vermelho:VE0491VM:#d84040"
VE0492PR,"Cruze Celta",106.26,volantes/8Cruze_celta/Celta VE0492PR.webp,"Cinza:VE0492CZ:#808080, Preto:VE0492PT:#000000, Vermelho:VE0492VM:#d84040"
VE0497PR,"Cruze Universal",106.26,volantes/9Cruze_Universal/Cruze Universal VE0497PR.webp,"Cinza:VE0497CZ:#808080, Preto:VE0497PT:#000000, Vermelho:VE0497VM:#d84040"
VE0498PR-A,"Cruze Camaro Astra",106.26,volantes/10Cruze_Camaro_Astra/Astra VE0498PR.webp,"Cinza:VE0498CZ:#808080, Preto:VE0498PT:#000000, Vermelho:VE0498VM:#d84040"
VE0499PR,"Cruze Camaro Celta",106.26,volantes/10Cruze_Camaro_Celta/Celta VE0499PR.webp,"Cinza:VE0499CZ:#808080, Preto:VE0499PT:#000000, Vermelho:VE0499VM:#d84040"
VE0498PR-U,"Camaro Universal",106.26,volantes/11Camaro_Universal/Universal VE0498PR.webp,"Cinza:VE0498CZ:#808080, Preto:VE0498PT:#000000, Vermelho:VE0498VM:#d84040"
VE0495PR,"Cruze VW G1 a G6 Fox",106.26,volantes/12Cruze_VW_G1_G6_Fox/Cruze VW VE0495PR.webp,"Cinza:VE0495CZ:#808080, Preto:VE0495PT:#000000, Vermelho:VE0495VM:#d84040"
VE0281PR,"Gran Siena Sport",106.26,volantes/13Gran _Siena _Sprt/Gran Siena VE0281PR.webp,"Cinza:VE0281CZ:#808080, Preto:VE0281PT:#000000, Vermelho:VE0281VM:#d84040"
VE0279PR,"Palio Novo Sport",106.26,volantes/14Palio_Novo_Sprt/Palio Novo VE0279PR.webp,"Cinza:VE0279CZ:#808080, Preto:VE0279PT:#000000, Vermelho:VE0279VM:#d84040"
VE2000PR,"Mustang Universal",106.26,volantes/15Mustang_Universal/Mustang Universal VE2000PR.jpeg,"Cinza:VE2000CZ:#808080, Preto:VE2000PT:#000000, Vermelho:VE2000VM:#d84040"
VE1188PRSP,"VW Jetta G1 Sport TB",106.26,volantes/16VW_Jetta_G1_Sprt_Tb/Jetta VE1188PRSP.jpeg,"Cinza:VE1188CZ:#808080, Preto:VE1188PT:#000000, Vermelho:VE1188VM:#d84040"
VE1189PRSP,"VW Jetta G1 a G4 Sport TB",106.26,volantes/17VW_Jetta_G1_G4_Sprt_Tb/Jetta VE1189PRSP.jpeg,"Cinza:VE1189CZ:#808080, Preto:VE1189PT:#000000, Vermelho:VE1189VM:#d84040"
VE1190PRSP,"VW G5 Sport TB",106.26,volantes/18VW_G5_Sprt_Tb/Jetta VE1190PRSP.jpeg,"Cinza:VE1190CZ:#808080, Preto:VE1190PT:#000000, Vermelho:VE1190VM:#d84040"
