codigo,descricao,preco,imagem
VI0270TB,"Uno Way / Vivace - Universal C/ Tampa + Cubo",127.18,volantes/passeio/uno vivace VI0270TB.png
VI1186TBMB,"Gol 4 Bolas Preto G1/G2/G3/G4 - Marron",160.96,volantes/passeio/4 bola marrom VI1186TBMR.png
VI1184TBPT,"Gol 4 Bolas Preto G1/G2/G3/G4 - Preto",146.48,volantes/passeio/4 bola preto VI1184TBPT.png
VI0467TB,"Celta 2 pontas Antigo C/ Tampa",127.18,volantes/passeio/celta 2 pontas VI0467TB.png
VI0265TB,"Uno Fire / Palio / Siena / Strada C/ Tampa",127.18,volantes/passeio/fire VI0265TB.png
VI1155TB,"Fox/ CrossFox/ SpaceFox C/ Tampa",127.18,volantes/passeio/fox VI1155TB.png
VI1161TB,"Gol G2 Bolinha/ Parati/ Saveiro C/ Tampa",127.18,volantes/passeio/g2 VI1161TB.png
VI1167TB,"Gol G3/ Parati/ Saveiro C/ Tampa",127.18,volantes/passeio/g3 VI1167TB.png
VI1169TB,"Gol G4/ Parati/ Saveiro C/ Tampa",127.18,volantes/passeio/g4 VI1169TB.png
VI1171TB,"Gol G5 / Saveiro/ Fox/ Voyage C/ Tampa",127.18,volantes/passeio/g5 VI1171TB.png
VI0279TB,"Idea Nova / Palio/ Siena / Strada C/ Tampa",127.18,volantes/passeio/idea VI0279TB.png
VI0662TB,"Novo Ford Cargo C/ Tampa",127.18,volantes/passeio/novo ford cargo VI0662TB.jpeg
NG130012,"Golf Novo GTI G2/G3/G4 C/ Tampa",127.18,volantes/passeio/novo golf g2 g3 g4 NG130012.png
NG130212,"Golf Novo GTI G5/G6 C/ Tampa",127.18,volantes/passeio/novo golf g5 g6 NG130212.png
VI0279PRTB,"Idea Nova / Palio/ Siena / Strada Com Aplique Lateral Prata C/ Tampa",145.35,volantes/passeio/novo idea VI0279PRTB.png
VI0257TB,"Palio Novo C/ Tampa",127.18,volantes/passeio/palio novo VI0257TB.png
VI0267TB,"Uno Mille / EP / EX / Fiorino C/ Tampa",127.18,volantes/passeio/uno mille VI0267TB.png
VI0270TB2,"Uno Way / Vivace - Universal",125.40,volantes/passeio/uno vivace VI0270TB.png
VI1155TB2,"Voyage G2/G3/G4",125.40,volantes/passeio/VI001TB.png
VI002TB,"Voyage G5/G6/ Fox",129.40,volantes/passeio/voyage g5 g6 fox VI002TB.png
